,Unnamed: 0,Concentration,Count_DNA,Count_H2AX_Puncta,Puncta_Cell,B508,Cpd,dataset
0,0,10 uM,109,7,0.055565863786645346,sensitive,Vehicle,2
1,1,10 uM,129,9,0.04411553320291952,sensitive,Vehicle,1
2,2,10 uM,191,8,0.03878906290873309,sensitive,Vehicle,3
3,3,10 uM,163,14,0.054309920221181085,sensitive,Vehicle,1
4,4,10 uM,162,26,0.14973824529120938,sensitive,Vehicle,4
5,5,10 uM,158,13,0.07119062295269118,sensitive,Vehicle,2
6,6,10 uM,151,553,3.1687261792503514,sensitive,Vehicle,2
7,7,10 uM,147,531,2.602935863809818,sensitive,Vehicle,5
8,8,10 uM,172,2,0.007352588867153256,sensitive,Vehicle,1
9,9,10 uM,167,5,0.025905385597708906,sensitive,Vehicle,2
10,10,10 uM,159,382,2.0787524136103674,sensitive,Vehicle,2
11,11,10 uM,157,29,0.1723347075889519,sensitive,Vehicle,4
12,12,10 uM,151,9,0.05157058881239271,sensitive,Vehicle,2
13,13,10 uM,166,38,0.21357475394177133,sensitive,Vehicle,4
14,14,10 uM,98,44,0.3884750476978879,sensitive,Vehicle,2
15,15,10 uM,116,44,0.3281944368482156,sensitive,Vehicle,2
16,16,10 uM,103,0,0.0,sensitive,Vehicle,4
17,17,10 uM,121,401,3.091956735730306,sensitive,Vehicle,4
18,18,10 uM,109,7,3.8132653774491616,sensitive,Vehicle,4
19,19,10 uM,109,7,1.798520459059505,sensitive,Vehicle,2
20,20,10 uM,109,7,3.250297768108463,sensitive,Vehicle,5
21,21,10 uM,109,7,2.9602819663672593,sensitive,Vehicle,1
22,22,10 uM,109,7,1.1732281497091592,sensitive,Vehicle,2
23,23,10 uM,109,7,2.6096034060597186,sensitive,Vehicle,2
24,24,10 uM,109,7,2.458474083987466,sensitive,Vehicle,1
25,25,10 uM,109,7,2.6364247407471337,sensitive,Vehicle,2
26,26,10 uM,109,7,4.322899175248966,sensitive,Vehicle,2
27,27,10 uM,109,7,2.445276644998979,sensitive,Vehicle,2
28,28,10 uM,109,7,1.263148076747091,sensitive,Vehicle,5
29,29,10 uM,109,7,1.928362271446817,sensitive,Vehicle,2
30,30,10 uM,109,7,2.8279032682693077,sensitive,Vehicle,3
31,31,10 uM,109,7,0.14429611932556602,sensitive,Vehicle,2
32,32,10 uM,109,7,3.476579428299904,sensitive,Vehicle,2
33,33,10 uM,109,7,1.0805117216116003,sensitive,Vehicle,4
34,34,10 uM,109,7,2.4271700553301163,sensitive,Vehicle,1
35,35,10 uM,109,7,1.9900218475422742,sensitive,Vehicle,4
36,36,10 uM,109,7,3.5712616517940052,sensitive,Vehicle,2
37,37,10 uM,109,7,2.0501971324770873,sensitive,Vehicle,1
38,38,10 uM,109,7,1.170689598705644,sensitive,Vehicle,2
39,39,10 uM,109,7,2.204599838902052,sensitive,Vehicle,2
40,40,10 uM,109,7,1.397499680855181,sensitive,Vehicle,2
41,41,10 uM,109,7,0.7162759571004519,sensitive,Vehicle,2
42,42,10 uM,109,7,2.060322475261839,sensitive,Vehicle,4
43,43,10 uM,109,7,3.871967491352989,sensitive,Vehicle,2
44,44,10 uM,109,7,3.765531846350926,sensitive,Vehicle,2
45,45,10 uM,109,7,3.6372177146563374,sensitive,Vehicle,5
46,46,10 uM,109,7,2.0846125623242675,sensitive,Vehicle,4
47,47,10 uM,109,7,3.3574998283268283,sensitive,Vehicle,5
48,48,10 uM,109,7,3.039676220388401,sensitive,Vehicle,2
49,49,10 uM,109,7,0.988916726996895,sensitive,Vehicle,5
50,50,10 uM,109,7,1.7397477365976213,sensitive,Vehicle,2
51,51,10 uM,109,7,0.30984865514741267,sensitive,Vehicle,3
52,52,10 uM,109,7,0.727201036318497,sensitive,Vehicle,1
53,53,10 uM,109,7,1.84434278583075,sensitive,Vehicle,5
54,54,10 uM,109,7,0.2764324438982666,sensitive,Vehicle,3
55,55,10 uM,109,7,4.48186355683345,sensitive,Vehicle,4
56,56,10 uM,109,7,3.3861588950221657,sensitive,Vehicle,4
57,57,10 uM,109,7,0.3120830662569979,sensitive,Vehicle,1
58,58,10 uM,109,7,1.0679777973226239,sensitive,Vehicle,2
59,59,10 uM,109,7,3.638841788268626,sensitive,Vehicle,3
60,60,10 uM,109,7,2.7698539468319003,sensitive,Vehicle,3
61,61,10 uM,109,7,1.604993487801066,sensitive,Vehicle,2
62,62,10 uM,109,7,3.871132314750759,sensitive,Vehicle,3
63,63,10 uM,109,7,0.5872337437231244,sensitive,Vehicle,2
64,64,10 uM,109,7,3.2702817724835946,sensitive,Vehicle,4
65,65,10 uM,109,7,4.3536101687136295,sensitive,Vehicle,4
66,66,10 uM,109,7,2.9180339327143505,sensitive,Vehicle,2
67,67,10 uM,109,7,2.374963662062096,sensitive,Vehicle,1
68,68,10 uM,109,7,3.0558929704179993,sensitive,Vehicle,1
69,69,10 uM,109,7,2.493055792213659,sensitive,Vehicle,4
70,70,10 uM,109,7,1.6973450271809922,sensitive,Vehicle,2
71,71,10 uM,109,7,3.5355718215983463,sensitive,Vehicle,4
72,72,10 uM,109,7,1.092345140375396,sensitive,Vehicle,3
73,73,10 uM,109,7,2.1644972111180985,sensitive,Vehicle,5
74,74,10 uM,109,7,1.8957837397343034,sensitive,Vehicle,3
75,75,10 uM,109,7,4.5778335314250995,sensitive,Vehicle,4
76,76,10 uM,109,7,1.2304155976272013,sensitive,Vehicle,4
77,77,10 uM,109,7,1.3131910806069234,sensitive,Vehicle,2
78,78,10 uM,109,7,2.001781387190146,sensitive,Vehicle,5
79,79,10 uM,109,7,4.685178649105934,sensitive,Vehicle,2
80,80,10 uM,109,7,3.7745982551233435,sensitive,Vehicle,5
81,81,10 uM,109,7,1.8420515738234422,sensitive,Vehicle,2
82,82,10 uM,109,7,4.52287629359569,sensitive,Vehicle,2
83,83,10 uM,109,7,3.7981545035006454,sensitive,Vehicle,2
84,84,10 uM,109,7,1.846081011988259,sensitive,Vehicle,2
85,85,10 uM,109,7,3.1413920180237884,sensitive,Vehicle,5
86,86,10 uM,109,7,0.29246526720948424,sensitive,Vehicle,2
87,87,10 uM,109,7,4.724299723980048,sensitive,Vehicle,2
88,88,10 uM,109,7,2.979490483395585,sensitive,Vehicle,2
89,89,10 uM,109,7,1.7550005867430485,sensitive,Vehicle,2
90,90,10 uM,109,7,4.219428268943105,sensitive,Vehicle,4
91,91,10 uM,109,7,4.001910677576525,sensitive,Vehicle,2
92,92,10 uM,109,7,0.6244891625017035,sensitive,Vehicle,5
93,93,10 uM,109,7,0.824730734592858,sensitive,Vehicle,2
94,94,10 uM,109,7,3.8433339358019176,sensitive,Vehicle,2
95,95,10 uM,109,7,0.7287586268912349,sensitive,Vehicle,1
96,96,10 uM,109,7,2.0398024726038018,sensitive,Vehicle,2
97,97,10 uM,109,7,0.6169162324025576,sensitive,Vehicle,2
98,98,10 uM,109,7,3.6048696048203865,sensitive,Vehicle,2
99,99,10 uM,109,7,4.65371817355491,sensitive,Vehicle,2
100,100,10 uM,109,7,1.732587357344275,sensitive,Vehicle,1
101,101,10 uM,109,7,3.739134895292615,sensitive,Vehicle,5
102,102,10 uM,109,7,0.12755199982798535,sensitive,Vehicle,2
103,103,10 uM,109,7,0.7939881435227695,sensitive,Vehicle,2
104,104,10 uM,109,7,3.7395705478697283,sensitive,Vehicle,3
105,105,10 uM,109,7,1.7206641439651933,sensitive,Vehicle,5
106,106,10 uM,109,7,0.4756896028785504,sensitive,Vehicle,2
107,107,10 uM,109,7,0.005886213702402256,sensitive,Vehicle,2
108,108,10 uM,109,7,0.5825074027441245,sensitive,Vehicle,5
109,109,10 uM,109,7,2.9111133419820225,sensitive,Vehicle,4
110,110,10 uM,109,7,4.0555632210911865,sensitive,Vehicle,2
111,111,10 uM,109,7,2.855523565907539,sensitive,Vehicle,2
112,112,10 uM,109,7,3.9751817517785044,sensitive,Vehicle,2
113,113,10 uM,109,7,0.9186558787542519,sensitive,Vehicle,5
114,114,10 uM,109,7,0.39769275197374976,sensitive,Vehicle,2
115,115,10 uM,109,7,1.2272269826513484,sensitive,Vehicle,1
116,116,10 uM,109,7,0.5649609711815635,sensitive,Vehicle,3
117,117,10 uM,109,7,2.330064000616275,sensitive,Vehicle,4
118,118,10 uM,109,7,0.5065475120759917,sensitive,Vehicle,3
119,119,10 uM,109,7,0.7904940611651667,sensitive,Vehicle,4
120,120,10 uM,109,7,0.19393516048075993,sensitive,Vehicle,2
121,121,10 uM,109,7,3.9171696849219675,sensitive,Vehicle,3
122,122,10 uM,109,7,2.0865829407787775,sensitive,Vehicle,4
123,123,10 uM,109,7,1.2468347635956047,sensitive,Vehicle,4
124,124,10 uM,109,7,5.040451870289918,sensitive,Vehicle,3
125,125,10 uM,109,7,3.6127474038239034,sensitive,Vehicle,3
126,126,10 uM,109,7,2.052824959169714,sensitive,Vehicle,4
127,127,10 uM,109,7,1.1071175006170653,sensitive,Vehicle,4
128,128,10 uM,109,7,4.711696976670068,sensitive,Vehicle,2
129,129,10 uM,109,7,2.829491480303,sensitive,Vehicle,4
130,130,10 uM,109,7,3.487793860676021,sensitive,Vehicle,3
131,131,10 uM,109,7,1.3886513906325986,sensitive,Vehicle,4
132,132,10 uM,109,7,3.13557310961778,sensitive,Vehicle,5
133,133,10 uM,109,7,1.7971140086882393,sensitive,Vehicle,5
134,134,10 uM,109,7,2.9671116964371413,sensitive,Vehicle,2
135,135,10 uM,109,7,1.9107324189727413,sensitive,Vehicle,1
