Sample Id	NKX2-1: Putative copy-number alterations from GISTIC	OXA1L: mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2) (log2(value + 1))	Copy Number Alterations
TCGA-FD-A3B6-01	Deep Deletion	2544.73	NKX2-1: Deep Deletion
TCGA-UY-A9PE-01	Deep Deletion	1280.94	NKX2-1: Deep Deletion
TCGA-ZF-AA4T-01	Deep Deletion	1801.26	NKX2-1: Deep Deletion
TCGA-CK-6748-01	Deep Deletion	1572.04	NKX2-1: Deep Deletion
TCGA-18-4083-01	Deep Deletion	2724.14	NKX2-1: Deep Deletion
TCGA-33-4587-01	Deep Deletion	910.136	NKX2-1: Deep Deletion
TCGA-94-7943-01	Deep Deletion	1844.62	NKX2-1: Deep Deletion
TCGA-24-2026-01	Deep Deletion	1046.862398	NKX2-1: Deep Deletion
TCGA-30-1855-01	Deep Deletion	1879.23477	NKX2-1: Deep Deletion
TCGA-KK-A59Y-01	Deep Deletion	1920.12	NKX2-1: Deep Deletion
TCGA-OR-A5J6-01	Shallow Deletion	1905.14	NKX2-1: Shallow Deletion
TCGA-OR-A5J7-01	Shallow Deletion	3503.81	NKX2-1: Shallow Deletion
TCGA-OR-A5J8-01	Shallow Deletion	2335.68	NKX2-1: Shallow Deletion
TCGA-OR-A5JD-01	Shallow Deletion	2403.52	NKX2-1: Shallow Deletion
TCGA-OR-A5JK-01	Shallow Deletion	2387.49	NKX2-1: Shallow Deletion
TCGA-OR-A5JQ-01	Shallow Deletion	1963.97	NKX2-1: Shallow Deletion
TCGA-OR-A5JV-01	Shallow Deletion	2748.18	NKX2-1: Shallow Deletion
TCGA-OR-A5JY-01	Shallow Deletion	3750.56	NKX2-1: Shallow Deletion
TCGA-OR-A5K5-01	Shallow Deletion	2187.41	NKX2-1: Shallow Deletion
TCGA-OR-A5KZ-01	Shallow Deletion	1927.88	NKX2-1: Shallow Deletion
TCGA-OR-A5L6-01	Shallow Deletion	2743.93	NKX2-1: Shallow Deletion
TCGA-OR-A5LC-01	Shallow Deletion	2840.57	NKX2-1: Shallow Deletion
TCGA-OR-A5LN-01	Shallow Deletion	2910.98	NKX2-1: Shallow Deletion
TCGA-OR-A5LT-01	Shallow Deletion	2272.11	NKX2-1: Shallow Deletion
TCGA-PK-A5HA-01	Shallow Deletion	3785.01	NKX2-1: Shallow Deletion
TCGA-2F-A9KP-01	Shallow Deletion	2072.83	NKX2-1: Shallow Deletion
TCGA-2F-A9KR-01	Shallow Deletion	1066.54	NKX2-1: Shallow Deletion
TCGA-2F-A9KT-01	Shallow Deletion	2106.84	NKX2-1: Shallow Deletion
TCGA-2F-A9KW-01	Shallow Deletion	3519.22	NKX2-1: Shallow Deletion
TCGA-4Z-AA7M-01	Shallow Deletion	1075.16	NKX2-1: Shallow Deletion
TCGA-4Z-AA7Q-01	Shallow Deletion	1590.73	NKX2-1: Shallow Deletion
TCGA-4Z-AA7W-01	Shallow Deletion	1108.96	NKX2-1: Shallow Deletion
TCGA-4Z-AA81-01	Shallow Deletion	1087.6	NKX2-1: Shallow Deletion
TCGA-4Z-AA82-01	Shallow Deletion	1759.33	NKX2-1: Shallow Deletion
TCGA-4Z-AA84-01	Shallow Deletion	1380.91	NKX2-1: Shallow Deletion
TCGA-4Z-AA87-01	Shallow Deletion	1417.53	NKX2-1: Shallow Deletion
TCGA-5N-A9KI-01	Shallow Deletion	1204.34	NKX2-1: Shallow Deletion
TCGA-BT-A20J-01	Shallow Deletion	2005.49	NKX2-1: Shallow Deletion
TCGA-BT-A20T-01	Shallow Deletion	1473.55	NKX2-1: Shallow Deletion
TCGA-BT-A20V-01	Shallow Deletion	1260.04	NKX2-1: Shallow Deletion
TCGA-BT-A2LB-01	Shallow Deletion	2128.16	NKX2-1: Shallow Deletion
TCGA-BT-A2LD-01	Shallow Deletion	1178.46	NKX2-1: Shallow Deletion
TCGA-BT-A3PK-01	Shallow Deletion	1659.63	NKX2-1: Shallow Deletion
TCGA-CF-A1HR-01	Shallow Deletion	1837.35	NKX2-1: Shallow Deletion
TCGA-CF-A3MI-01	Shallow Deletion	2549.67	NKX2-1: Shallow Deletion
TCGA-CF-A47X-01	Shallow Deletion	1882.52	NKX2-1: Shallow Deletion
TCGA-CF-A5U8-01	Shallow Deletion	2510.57	NKX2-1: Shallow Deletion
TCGA-CF-A8HY-01	Shallow Deletion	2004.09	NKX2-1: Shallow Deletion
TCGA-CU-A0YO-01	Shallow Deletion	1579.31	NKX2-1: Shallow Deletion
TCGA-CU-A3QU-01	Shallow Deletion	898.776	NKX2-1: Shallow Deletion
TCGA-CU-A5W6-01	Shallow Deletion	2176.36	NKX2-1: Shallow Deletion
TCGA-DK-A1A3-01	Shallow Deletion	2765.87	NKX2-1: Shallow Deletion
TCGA-DK-A1A5-01	Shallow Deletion	815.321	NKX2-1: Shallow Deletion
TCGA-DK-A1AC-01	Shallow Deletion	1505.43	NKX2-1: Shallow Deletion
TCGA-DK-A1AD-01	Shallow Deletion	1491.63	NKX2-1: Shallow Deletion
TCGA-DK-A2I1-01	Shallow Deletion	1787.63	NKX2-1: Shallow Deletion
TCGA-DK-A2I6-01	Shallow Deletion	1961.13	NKX2-1: Shallow Deletion
TCGA-DK-A3IK-01	Shallow Deletion	2152.82	NKX2-1: Shallow Deletion
TCGA-DK-A3IQ-01	Shallow Deletion	1696.92	NKX2-1: Shallow Deletion
TCGA-DK-A3IS-01	Shallow Deletion	1278.3	NKX2-1: Shallow Deletion
TCGA-DK-A3X1-01	Shallow Deletion	1737.06	NKX2-1: Shallow Deletion
TCGA-DK-A6AV-01	Shallow Deletion	1229.4	NKX2-1: Shallow Deletion
TCGA-DK-A6B5-01	Shallow Deletion	1088.33	NKX2-1: Shallow Deletion
TCGA-DK-AA6P-01	Shallow Deletion	1403.56	NKX2-1: Shallow Deletion
TCGA-DK-AA6S-01	Shallow Deletion	1357.75	NKX2-1: Shallow Deletion
TCGA-DK-AA6U-01	Shallow Deletion	1482.88	NKX2-1: Shallow Deletion
TCGA-DK-AA76-01	Shallow Deletion	1079.7	NKX2-1: Shallow Deletion
TCGA-E5-A4TZ-01	Shallow Deletion	1262.69	NKX2-1: Shallow Deletion
TCGA-E5-A4U1-01	Shallow Deletion	2157.16	NKX2-1: Shallow Deletion
TCGA-E7-A4IJ-01	Shallow Deletion	2161.73	NKX2-1: Shallow Deletion
TCGA-E7-A5KE-01	Shallow Deletion	1951.05	NKX2-1: Shallow Deletion
TCGA-E7-A6MD-01	Shallow Deletion	1255.78	NKX2-1: Shallow Deletion
TCGA-E7-A6ME-01	Shallow Deletion	5347.07	NKX2-1: Shallow Deletion
TCGA-E7-A7DU-01	Shallow Deletion	1785.53	NKX2-1: Shallow Deletion
TCGA-E7-A7DV-01	Shallow Deletion	1524.84	NKX2-1: Shallow Deletion
TCGA-FD-A3SP-01	Shallow Deletion	1279.13	NKX2-1: Shallow Deletion
TCGA-FD-A3SQ-01	Shallow Deletion	2194.6	NKX2-1: Shallow Deletion
TCGA-FD-A3SR-01	Shallow Deletion	1431.63	NKX2-1: Shallow Deletion
TCGA-FD-A43N-01	Shallow Deletion	2046.25	NKX2-1: Shallow Deletion
TCGA-FD-A43U-01	Shallow Deletion	1856.68	NKX2-1: Shallow Deletion
TCGA-FD-A5C0-01	Shallow Deletion	1071	NKX2-1: Shallow Deletion
TCGA-FD-A5C1-01	Shallow Deletion	3418.66	NKX2-1: Shallow Deletion
TCGA-FD-A62P-01	Shallow Deletion	1372.83	NKX2-1: Shallow Deletion
TCGA-FD-A6TA-01	Shallow Deletion	1237.56	NKX2-1: Shallow Deletion
TCGA-FD-A6TC-01	Shallow Deletion	1206.17	NKX2-1: Shallow Deletion
TCGA-FD-A6TF-01	Shallow Deletion	1550.53	NKX2-1: Shallow Deletion
TCGA-FD-A6TG-01	Shallow Deletion	1739.18	NKX2-1: Shallow Deletion
TCGA-FD-A6TH-01	Shallow Deletion	4692.42	NKX2-1: Shallow Deletion
TCGA-FJ-A3Z7-01	Shallow Deletion	2405.64	NKX2-1: Shallow Deletion
