Name::Name,Feature::Feature,Value::Value!!R,Unit::Unit
,,,
"Line","Distance",2025.028,"nm"
"Line","Distance",2387.204,"nm"
"Line","Distance",1374.239,"nm"
"Line","Distance",1907.738,"nm"
"Line","Distance",879.766,"nm"
"Line","Distance",1287.655,"nm"
"Line","Distance",2406.839,"nm"
"Line","Distance",2583.312,"nm"
"Line","Distance",2475.187,"nm"
"Line","Distance",1960.21,"nm"
"Line","Distance",5236.169,"nm"
"Line","Distance",3592.799,"nm"
"Line","Distance",3250.396,"nm"
"Line","Distance",1621.318,"nm"
"Line","Distance",2604.964,"nm"
"Line","Distance",1961.231,"nm"
"Line","Distance",6024.044,"nm"
"Line","Distance",1729.104,"nm"
"Line","Distance",2218.425,"nm"
"Line","Distance",1889.255,"nm"
"Line","Distance",4356.626,"nm"
"Line","Distance",2770.665,"nm"
"Length","Distance",4962.352,"nm"
