Name::Name,Feature::Feature,Value::Value!!R,Unit::Unit
,,,
"Line","Distance",8507.447,"nm"
"Line","Distance",8507.447,"nm"
"Line","Distance",5065.222,"nm"
"Line","Distance",8714.656,"nm"
"Line","Distance",4587.282,"nm"
"Line","Distance",3938.808,"nm"
"Line","Distance",3602.588,"nm"
"Line","Distance",2742.285,"nm"
"Line","Distance",2414.488,"nm"
"Line","Distance",7317.63,"nm"
"Line","Distance",2315.211,"nm"
"Line","Distance",4431.084,"nm"
"Line","Distance",6312.575,"nm"
"Line","Distance",2414.488,"nm"
"Line","Distance",4587.282,"nm"
"Line","Distance",8165.988,"nm"
"Line","Distance",1907.042,"nm"
"Line","Distance",7379.984,"nm"
"Line","Distance",2723.51,"nm"
"Line","Distance",13028.076,"nm"
"Line","Distance",5930.506,"nm"
"Line","Distance",11743.902,"nm"
"Line","Distance",4697.903,"nm"
"Line","Distance",4697.903,"nm"
