MutationType	DBS78A	DBS78B	DBS78C
AC>CA	0.00840297394292429	0.003964505811418803	0.007004618235398084
AC>CG	0.0035068494197912515	0.0036787911926949163	0.0027533180801064708
AC>CT	0.007791449536685832	0.00741638694901485	0.010126285129226744
AC>GA	0.011099727741908282	0.007387317501125867	0.006480283329094743
AC>GG	0.007353027639212087	0.00553398967719113	0.0034454754419936695
AC>GT	0.03125433101505041	0.030500912258401514	0.030840222800150512
AC>TA	0.004011651065160095	0.005456700344875571	0.004357602114594784
AC>TG	0.004015108117104091	0.006920710308710113	0.005982607326936029
AC>TT	0.012397605322301388	0.008316653836353083	0.008760876072599785
AT>CA	0.009210561933112331	0.004452321171083908	0.006832480023498647
AT>CC	0.007101785081875278	0.009336327197961508	0.004455120583558263
AT>CG	0.0014216589872557961	0.0030461109715544128	0.002931368052748237
AT>GA	0.012667153572430834	0.009020195540972054	0.011607834613649174
AT>GC	0.012434787503443658	0.008472523521755534	0.011897748384624719
AT>TA	0.0026552532033092577	0.004543531954404898	0.003379433548558154
CC>AA	0.04657080662995577	0.043285242855548856	0.046009766161441805
CC>AG	0.010749903343152255	0.011410800589597784	0.014698592126369476
CC>AT	0.018109011500142515	0.01992150554060936	0.021250611824914813
CC>GA	0.005370985474102781	0.0069878737579565494	0.00762228512193542
CC>GG	0.010792915300466121	0.012042085628258065	0.009107940489775502
CC>GT	0.009102670112173654	0.013957469908054918	0.010239964314736425
CC>TA	0.009598742053611204	0.01323667079466395	0.013921466344036161
CC>TG	0.026084923092275857	0.026970473881810904	0.02615515578724444
CC>TT	0.02308164271339774	0.02234147733170539	0.024762110866606235
CG>AT	0.0024850682156429683	0.00370684756866894	0.000928119515515524
CG>GC	0.0012861152034930683	0.0006441574211571787	0.0005853635695281696
CG>GT	0.0032052397491643203	0.000619471166738897	0.002333191203768025
CG>TA	0.012997185252606869	0.00985995249368716	0.008770271637826227
CG>TC	0.00579740313529328	0.01069494749000296	0.009525465811253525
CG>TT	0.011875650502741336	0.015228581059724092	0.009575833699665963
CT>AA	0.012764126217458397	0.014363558273762464	0.012014846775680781
CT>AC	0.011756081036408432	0.011378027982544154	0.00946717199322302
CT>AG	0.006782547549228184	0.0039843799511436375	0.0067788027267670255
CT>GA	0.007303744889446534	0.008746374759823084	0.009111544351675547
CT>GC	0.012144490074831992	0.008734861130302305	0.010554196531418711
CT>GG	0.011387115704710595	0.013272345383651555	0.008059651641177251
CT>TA	0.009190404423512518	0.008658297559130005	0.011569865606259555
CT>TC	0.021195361563004552	0.020203059766441583	0.02229283292964101
CT>TG	0.02166504713334143	0.02569353686645627	0.0293274839669466
GC>AA	0.019481001563370227	0.015636872975155713	0.016974649835843594
GC>AG	0.01683481215685606	0.014119901120662689	0.008847007651435233
GC>AT	0.01354877260606736	0.014861343464814127	0.011812702800612897
GC>CA	0.0042314628889213056	0.0076186863931361586	0.0040839909406371324
GC>CG	3.019737096821018e-09	0.00025380986472207565	0.0013704348677427446
GC>TA	0.0028395387640921398	0.003040978239921969	0.0022458804101188434
TA>AT	0.004078531468636356	0.002838218612404489	0.002762157396306975
TA>CG	0.008368520703923422	0.007274344797362574	0.009615477150538936
TA>CT	0.008418183485977351	0.00896511001768522	0.01153652614261955
TA>GC	2.333769243634265e-09	0.0006235703844042107	0.0008618315939546335
TA>GG	0.006843951623653993	0.008312326819170266	0.005025500741916076
TA>GT	0.004842351729050278	0.002086851369736451	0.00362155830458506
TC>AA	0.0352911034617573	0.03679649641737342	0.027643687181174756
TC>AG	0.010858935501426458	0.009821710085961968	0.012762643144465983
TC>AT	0.013358366170565319	0.02109405749849975	0.0192317023742944
TC>CA	0.015922184980474412	0.015134017129428684	0.01262078884919174
TC>CG	0.009686884144204669	0.010854197680018843	0.006253051313688047
TC>CT	0.02062563067302108	0.014779140605591238	0.02076376622263342
TC>GA	0.006232665847811621	0.00859827721666079	0.005113107148645291
TC>GG	0.005788500651426148	0.005491127043846077	0.007475660326046636
TC>GT	0.008406398972474761	0.006668508604611668	0.010058728670701384
TG>AA	0.01562700238171965	0.014255004652310162	0.01613387718703598
TG>AC	0.006485061608022079	0.007153073323512217	0.008739459200995043
TG>AT	0.013164038498420268	0.01657689144089818	0.01357876877533272
TG>CA	0.15326014575362207	0.14717293022572994	0.14928313179314137
TG>CC	0.020385752739268355	0.027057144466787576	0.020972809753846376
TG>CT	0.027636639850214122	0.030818668164312838	0.03056957457959652
TG>GA	0.009623341543832794	0.008665429228101857	0.01067880793218501
TG>GC	0.004048388529254929	0.006497407754184678	0.005491025281779002
TG>GT	0.007057384118015761	0.00974824299523607	0.007025436866068048
TT>AA	0.013930628750531469	0.011343693993985653	0.00682789934733246
TT>AC	0.008295329586369917	0.0075957758969598214	0.010433476376812904
TT>AG	0.004584356671461137	0.00466798264896579	0.005781750068294059
TT>CA	0.011519873333629221	0.01041971200320404	0.013479272283613682
TT>CC	0.013037240484030918	0.012309717902680858	0.0167349504455924
TT>CG	0.007528714188723825	0.004903784240596044	0.006720586180177634
TT>GA	0.005231900149869222	0.007302366019051988	0.0024761673248696564
TT>GC	0.007276121139904717	0.006671695713652298	0.014027849905192851
TT>GG	0.00902917493088171	0.007981955363997258	0.014846490730531514
