NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
2	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
3	4.387	0.143	2.065	0.345	0.0	1.0	20000.0
4	1.235	0.04	0.745	0.128	0.0	1.0	20000.0
5	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
6	0.355	0.011	0.251	0.042	0.0	1.0	30000.0
7	0.139	0.005	0.093	0.016	0.0	1.0	40000.0
8	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
9	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
10	0.445	0.015	0.314	0.054	0.0	1.0	20000.0
11	0.101	0.003	0.059	0.01	0.0	1.0	50000.0
12	0.001	0.0	0.001	0.0	0.0	1.0	30000.0
13	1.345	0.044	0.748	0.131	0.0	1.0	60000.0
14	1.394	0.046	0.678	0.115	0.0	1.0	40000.0
15	0.22	0.007	0.15	0.025	0.0	1.0	20000.0
16	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
17	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
18	3.752	0.122	1.956	0.333	0.0	1.0	30000.0
19	4.354	0.143	2.016	0.345	0.0	1.0	30000.0
20	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
21	0.76	0.025	0.402	0.069	0.0	1.0	30000.0
22	0.0	0.0	0.0	0.0	0.0	1.0	50000.0
23	1.269	0.042	0.779	0.132	0.0	1.0	20000.0
24	1.288	0.042	0.565	0.094	0.0	1.0	40000.0
25	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
26	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
27	0.856	0.028	0.593	0.1	0.0	1.0	20000.0
28	0.333	0.011	0.235	0.039	0.0	1.0	20000.0
29	2.835	0.093	1.268	0.218	0.0	1.0	20000.0
30	0.605	0.02	0.336	0.055	0.0	1.0	30000.0
31	0.149	0.005	0.093	0.016	0.0	1.0	30000.0
32	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
33	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
34	4.603	0.151	2.42	0.407	0.0	1.0	20000.0
35	1.005	0.033	0.582	0.098	0.0	1.0	20000.0
36	0.382	0.012	0.27	0.046	0.0	1.0	20000.0
37	0.197	0.006	0.117	0.02	0.0	1.0	30000.0
38	0.249	0.008	0.173	0.029	0.0	1.0	30000.0
39	0.121	0.004	0.085	0.014	0.0	1.0	20000.0
40	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
41	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
42	2.893	0.095	1.579	0.267	0.0	1.0	30000.0
43	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
44	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
45	1.368	0.045	0.738	0.128	0.0	1.0	60000.0
46	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
47	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
48	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
49	0.013	0.0	0.008	0.001	0.0	1.0	30000.0
50	0.889	0.029	0.629	0.108	0.0	1.0	20000.0
51	0.845	0.028	0.417	0.071	0.0	1.0	30000.0
52	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
53	2.495	0.081	1.289	0.212	0.0	1.0	20000.0
54	0.948	0.031	0.607	0.105	0.0	1.0	30000.0
55	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
56	0.525	0.017	0.269	0.046	0.0	1.0	30000.0
57	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
58	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
59	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
60	0.324	0.011	0.219	0.038	0.0	1.0	20000.0
61	0.194	0.006	0.135	0.023	0.0	1.0	20000.0
62	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
63	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
64	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
65	0.001	0.0	0.001	0.0	0.0	1.0	20000.0
66	0.186	0.006	0.114	0.019	0.0	1.0	30000.0
67	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
68	1.097	0.036	0.568	0.097	0.0	1.0	40000.0
69	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
70	1.773	0.058	0.94	0.163	0.0	1.0	30000.0
71	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
72	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
73	0.121	0.004	0.086	0.014	0.0	1.0	20000.0
74	1.365	0.045	0.886	0.156	0.0	1.0	60000.0
75	0.222	0.007	0.157	0.026	0.0	1.0	30000.0
76	0.402	0.013	0.247	0.042	0.0	1.0	50000.0
77	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
78	0.729	0.024	0.479	0.084	0.0	1.0	40000.0
79	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
80	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
81	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
82	1.986	0.065	0.986	0.17	0.0	1.0	30000.0
83	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
84	1.861	0.061	0.86	0.145	0.0	1.0	20000.0
85	4.781	0.156	2.272	0.393	0.0	1.0	40000.0
86	3.065	0.101	1.829	0.311	0.0	1.0	30000.0
87	0.036	0.001	0.025	0.004	0.0	1.0	40000.0
88	0.0	0.0	0.0	0.0	0.0	1.0	50000.0
89	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
90	1.219	0.04	0.639	0.105	0.0	1.0	50000.0
91	0.267	0.009	0.189	0.033	0.0	1.0	30000.0
92	1.171	0.039	0.53	0.089	0.0	1.0	20000.0
93	1.244	0.041	0.747	0.126	0.0	1.0	30000.0
94	2.095	0.069	1.032	0.174	0.0	1.0	20000.0
95	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
96	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
97	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
98	0.641	0.021	0.341	0.057	0.0	1.0	30000.0
99	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
100	0.334	0.011	0.195	0.032	0.0	1.0	90000.0
101	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
102	0.923	0.03	0.609	0.106	0.0	1.0	30000.0
103	4.765	0.156	2.242	0.376	0.0	1.0	20000.0
104	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
105	0.069	0.002	0.045	0.008	0.0	1.0	70000.0
106	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
107	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
108	2.298	0.075	0.982	0.166	0.0	1.0	30000.0
109	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
110	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
111	3.901	0.128	1.848	0.311	0.0	1.0	20000.0
112	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
113	0.445	0.015	0.314	0.054	0.0	1.0	40000.0
114	0.667	0.022	0.471	0.08	0.0	1.0	20000.0
115	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
116	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
117	0.381	0.012	0.269	0.044	0.0	1.0	30000.0
118	1.929	0.063	0.991	0.167	0.0	1.0	40000.0
119	0.367	0.012	0.201	0.035	0.0	1.0	40000.0
120	0.01	0.0	0.007	0.001	0.0	1.0	20000.0
121	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
122	0.807	0.027	0.518	0.087	0.0	1.0	20000.0
123	0.281	0.009	0.199	0.033	0.0	1.0	40000.0
124	0.812	0.027	0.434	0.071	0.0	1.0	30000.0
125	0.248	0.008	0.149	0.025	0.0	1.0	20000.0
126	0.8	0.026	0.565	0.095	0.0	1.0	20000.0
127	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
128	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
129	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
130	0.342	0.011	0.214	0.037	0.0	1.0	20000.0
131	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
132	0.308	0.01	0.192	0.032	0.0	1.0	30000.0
133	0.413	0.014	0.234	0.04	0.0	1.0	100000.0
134	0.064	0.002	0.042	0.007	0.0	1.0	70000.0
135	0.142	0.005	0.089	0.015	0.0	1.0	40000.0
136	0.089	0.003	0.059	0.01	0.0	1.0	30000.0
137	0.5	0.016	0.353	0.059	0.0	1.0	30000.0
138	3.556	0.117	1.828	0.312	0.0	1.0	20000.0
139	1.121	0.037	0.625	0.109	0.0	1.0	30000.0
140	2.503	0.082	1.314	0.225	0.0	1.0	30000.0
141	0.257	0.008	0.175	0.029	0.0	1.0	20000.0
142	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
143	2.467	0.081	1.288	0.219	0.0	1.0	30000.0
144	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
145	0.288	0.009	0.204	0.034	0.0	1.0	30000.0
146	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
147	1.76	0.058	1.033	0.181	0.0	1.0	40000.0
148	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
149	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
150	0.012	0.001	0.008	0.001	0.0	1.0	30000.0
151	1.149	0.038	0.591	0.102	0.0	1.0	30000.0
152	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
153	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
154	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
155	0.051	0.002	0.032	0.005	0.0	1.0	20000.0
156	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
157	0.986	0.033	0.654	0.11	0.0	1.0	40000.0
158	0.226	0.007	0.147	0.026	0.0	1.0	50000.0
159	1.692	0.056	0.762	0.131	0.0	1.0	20000.0
160	0.817	0.027	0.578	0.096	0.0	1.0	40000.0
161	0.274	0.009	0.15	0.025	0.0	1.0	30000.0
162	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
163	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
164	0.586	0.019	0.335	0.056	0.0	1.0	50000.0
165	3.237	0.106	1.268	0.211	0.0	1.0	30000.0
166	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
167	0.681	0.022	0.434	0.075	0.0	1.0	20000.0
168	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
169	0.002	0.0	0.001	0.0	0.0	1.0	40000.0
170	0.333	0.011	0.235	0.04	0.0	1.0	20000.0
171	1.226	0.04	0.759	0.128	0.0	1.0	20000.0
172	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
173	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
174	1.114	0.036	0.646	0.111	0.0	1.0	60000.0
175	0.333	0.011	0.235	0.039	0.0	1.0	20000.0
176	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
177	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
178	0.529	0.018	0.289	0.05	0.0	1.0	80000.0
179	0.667	0.022	0.471	0.08	0.0	1.0	20000.0
180	0.83	0.027	0.485	0.081	0.0	1.0	20000.0
181	0.838	0.027	0.569	0.096	0.0	1.0	20000.0
182	1.307	0.043	0.831	0.144	0.0	1.0	80000.0
183	0.003	0.0	0.001	0.0	0.0	1.0	20000.0
184	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
185	0.891	0.029	0.582	0.1	0.0	1.0	20000.0
