MutationsType	DBS78A
AC>CA	0.00653234
AC>CG	0.00335006
AC>CT	0.00831395
AC>GA	0.00854958
AC>GG	0.00564699
AC>GT	0.03091197
AC>TA	0.00458885
AC>TG	0.00555078
AC>TT	0.00999084
AT>CA	0.00694186
AT>CC	0.00707560
AT>CG	0.00237984
AT>GA	0.01115981
AT>GC	0.01098680
AT>TA	0.00347595
CC>AA	0.04534395
CC>AG	0.01209687
CC>AT	0.01960140
CC>GA	0.00653583
CC>GG	0.01072783
CC>GT	0.01104200
CC>TA	0.01202967
CC>TG	0.02637962
CC>TT	0.02329115
CG>AT	0.00241039
CG>GC	0.00085481
CG>GT	0.00207854
CG>TA	0.01076710
CG>TC	0.00847016
CG>TT	0.01231897
CT>AA	0.01309240
CT>AC	0.01097960
CT>AG	0.00582655
CT>GA	0.00830348
CT>GC	0.01055482
CT>GG	0.01106796
CT>TA	0.00967776
CT>TC	0.02121828
CT>TG	0.02518337
GC>AA	0.01753027
GC>AG	0.01363849
GC>AT	0.01348707
GC>CA	0.00529857
GC>CG	0.00045098
GC>TA	0.00272674
TA>AT	0.00328592
TA>CG	0.00837766
TA>CT	0.00945784
TA>GC	0.00043614
TA>GG	0.00683408
TA>GT	0.00356671
TC>AA	0.03366183
TC>AG	0.01104767
TC>AT	0.01759725
TC>CA	0.01472455
TC>CG	0.00909567
TC>CT	0.01872085
TC>GA	0.00671059
TC>GG	0.00618414
TC>GT	0.00831635
TG>AA	0.01532191
TG>AC	0.00734024
TG>AT	0.01443133
TG>CA	0.15025722
TG>CC	0.02277801
TG>CT	0.02955689
TG>GA	0.00960925
TG>GC	0.00524512
TG>GT	0.00793782
TT>AA	0.01105203
TT>AC	0.00864252
TT>AG	0.00495626
TT>CA	0.01172903
TT>CC	0.01384706
TT>CG	0.00642828
TT>GA	0.00511640
TT>GC	0.00898047
TT>GG	0.01031308
