MutationType	ID83A	ID83B
1:Del:C:0	1.61E-04	1.77E-04
1:Del:C:1	8.55E-05	9.10E-05
1:Del:C:2	5.11E-05	5.98E-05
1:Del:C:3	3.96E-05	4.54E-05
1:Del:C:4	2.89E-05	3.62E-05
1:Del:C:5	3.71E-05	3.95E-05
1:Del:T:0	9.99E-05	1.12E-04
1:Del:T:1	7.44E-05	8.97E-05
1:Del:T:2	6.25E-05	7.11E-05
1:Del:T:3	5.01E-05	5.60E-05
1:Del:T:4	6.85E-05	7.37E-05
1:Del:T:5	2.98E-04	3.69E-04
1:Ins:C:0	8.25E-05	1.01E-04
1:Ins:C:1	5.10E-05	5.08E-05
1:Ins:C:2	3.00E-05	3.53E-05
1:Ins:C:3	2.00E-05	2.31E-05
1:Ins:C:4	3.38E-05	3.69E-05
1:Ins:C:5	5.19E-05	5.59E-05
1:Ins:T:0	1.19E-04	1.24E-04
1:Ins:T:1	5.67E-05	6.12E-05
1:Ins:T:2	5.03E-05	5.77E-05
1:Ins:T:3	3.87E-05	4.63E-05
1:Ins:T:4	2.65E-05	3.18E-05
1:Ins:T:5	2.19E-04	2.69E-04
2:Del:R:0	1.30E-04	1.45E-04
2:Del:R:1	6.88E-05	8.15E-05
2:Del:R:2	3.35E-05	3.99E-05
2:Del:R:3	2.30E-05	2.69E-05
2:Del:R:4	2.37E-05	2.51E-05
2:Del:R:5	6.95E-05	8.48E-05
3:Del:R:0	7.47E-05	8.80E-05
3:Del:R:1	4.70E-05	5.27E-05
3:Del:R:2	3.29E-05	3.52E-05
3:Del:R:3	1.82E-05	1.76E-05
3:Del:R:4	1.44E-05	1.54E-05
3:Del:R:5	1.56E-05	2.11E-05
4:Del:R:0	6.96E-05	8.04E-05
4:Del:R:1	3.64E-05	4.20E-05
4:Del:R:2	2.27E-05	2.77E-05
4:Del:R:3	1.77E-05	1.86E-05
4:Del:R:4	1.40E-05	1.78E-05
4:Del:R:5	2.67E-05	3.40E-05
5:Del:R:0	1.07E-04	1.23E-04
5:Del:R:1	6.12E-05	6.28E-05
5:Del:R:2	3.09E-05	3.41E-05
5:Del:R:3	1.80E-05	2.11E-05
5:Del:R:4	1.40E-05	1.50E-05
5:Del:R:5	1.52E-05	2.10E-05
2:Ins:R:0	1.34E-04	1.38E-04
2:Ins:R:1	4.32E-05	4.73E-05
2:Ins:R:2	2.87E-05	4.01E-05
2:Ins:R:3	2.30E-05	2.24E-05
2:Ins:R:4	2.23E-05	2.38E-05
2:Ins:R:5	7.14E-05	8.14E-05
3:Ins:R:0	8.24E-05	9.89E-05
3:Ins:R:1	3.22E-05	3.83E-05
3:Ins:R:2	1.65E-05	2.72E-05
3:Ins:R:3	9.31E-06	1.52E-05
3:Ins:R:4	1.07E-05	1.32E-05
3:Ins:R:5	2.70E-05	3.06E-05
4:Ins:R:0	6.45E-05	7.44E-05
4:Ins:R:1	2.81E-05	3.28E-05
4:Ins:R:2	2.14E-05	2.54E-05
4:Ins:R:3	1.48E-05	1.70E-05
4:Ins:R:4	1.60E-05	1.79E-05
4:Ins:R:5	3.79E-05	4.66E-05
5:Ins:R:0	1.50E-04	1.80E-04
5:Ins:R:1	4.89E-05	5.44E-05
5:Ins:R:2	2.99E-05	3.64E-05
5:Ins:R:3	3.29E-05	3.46E-05
5:Ins:R:4	2.31E-05	2.69E-05
5:Ins:R:5	2.12E-05	2.39E-05
2:Del:M:1	7.43E-05	8.38E-05
3:Del:M:1	3.90E-05	4.36E-05
3:Del:M:2	4.50E-05	5.23E-05
4:Del:M:1	3.98E-05	4.30E-05
4:Del:M:2	3.89E-05	4.25E-05
4:Del:M:3	6.33E-05	7.58E-05
5:Del:M:1	7.57E-05	9.03E-05
5:Del:M:2	7.27E-05	8.31E-05
5:Del:M:3	5.63E-05	5.73E-05
5:Del:M:4	6.17E-05	6.60E-05
5:Del:M:5	1.08E-04	1.15E-04
