NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	347.205	3.363	65.823	2.829	0.002	0.999	20000.0
2	395.274	3.837	64.864	2.735	0.002	1.0	20000.0
3	421.878	4.103	77.999	3.301	0.002	0.999	20000.0
4	316.103	3.07	67.713	2.872	0.002	1.0	20000.0
5	370.154	3.604	66.376	2.803	0.002	0.999	20000.0
6	404.284	3.931	78.642	3.296	0.002	1.0	20000.0
7	452.169	4.399	102.718	4.353	0.002	0.999	20000.0
8	351.836	3.447	57.259	2.448	0.002	0.999	20000.0
9	387.519	3.761	79.232	3.336	0.002	1.0	20000.0
10	394.298	3.823	73.368	3.125	0.002	0.999	30000.0
11	400.834	3.918	72.731	3.096	0.002	1.0	50000.0
12	350.584	3.415	60.119	2.576	0.002	1.0	20000.0
13	403.81	3.926	67.809	2.878	0.002	1.0	20000.0
14	426.581	4.139	86.416	3.67	0.002	0.999	20000.0
15	275.273	2.668	45.854	1.95	0.001	1.0	20000.0
16	385.723	3.756	79.635	3.416	0.002	1.0	20000.0
17	378.719	3.685	58.729	2.475	0.002	1.0	20000.0
18	382.759	3.746	65.374	2.803	0.002	1.0	30000.0
19	371.829	3.63	60.06	2.575	0.002	1.0	20000.0
20	356.797	3.498	65.815	2.801	0.002	0.999	20000.0
21	388.684	3.777	66.376	2.783	0.002	1.0	20000.0
22	373.002	3.631	71.405	2.981	0.002	0.999	20000.0
23	408.974	3.999	81.394	3.441	0.002	0.999	20000.0
24	350.677	3.423	67.561	2.841	0.002	0.999	30000.0
25	382.973	3.729	65.3	2.723	0.002	0.999	20000.0
26	409.826	3.987	68.768	2.891	0.002	0.999	20000.0
27	350.147	3.394	73.954	3.146	0.002	0.999	20000.0
28	385.881	3.764	68.18	2.884	0.002	0.999	20000.0
29	432.992	4.226	95.665	4.092	0.002	0.999	30000.0
30	384.312	3.746	65.965	2.757	0.003	0.999	20000.0
31	391.995	3.802	86.254	3.659	0.002	0.999	40000.0
32	402.202	3.926	76.629	3.256	0.002	0.999	20000.0
33	404.225	3.942	68.883	2.918	0.002	0.999	20000.0
34	441.886	4.323	103.206	4.368	0.002	0.999	30000.0
35	363.457	3.525	67.94	2.914	0.002	0.999	20000.0
36	410.204	3.993	81.107	3.403	0.002	0.999	20000.0
37	381.535	3.712	67.736	2.858	0.002	1.0	20000.0
38	402.897	3.924	84.052	3.579	0.002	0.999	20000.0
39	471.927	4.613	83.327	3.544	0.003	0.999	20000.0
40	332.141	3.223	75.746	3.203	0.002	0.999	30000.0
41	388.284	3.772	81.308	3.421	0.002	1.0	20000.0
42	418.068	4.064	76.478	3.24	0.002	1.0	20000.0
43	443.113	4.31	84.652	3.576	0.002	0.999	20000.0
44	419.152	4.097	77.994	3.285	0.002	0.999	20000.0
45	407.665	3.954	84.346	3.564	0.003	0.999	20000.0
46	371.29	3.609	59.376	2.479	0.002	1.0	20000.0
47	344.51	3.356	55.122	2.308	0.002	0.999	20000.0
48	435.837	4.237	76.58	3.228	0.002	1.0	40000.0
49	407.738	3.963	61.481	2.6	0.002	1.0	20000.0
