MutationType	ID83A	ID83B	ID83C
1:Del:C:0	1.75E-04	1.67E-04	2.44E-04
1:Del:C:1	9.51E-05	1.04E-04	1.21E-04
1:Del:C:2	6.03E-05	6.19E-05	8.18E-05
1:Del:C:3	3.87E-05	4.88E-05	6.22E-05
1:Del:C:4	3.20E-05	3.71E-05	4.77E-05
1:Del:C:5	4.13E-05	4.58E-05	4.97E-05
1:Del:T:0	1.09E-04	1.32E-04	1.47E-04
1:Del:T:1	8.14E-05	9.05E-05	1.16E-04
1:Del:T:2	7.42E-05	7.85E-05	9.15E-05
1:Del:T:3	5.10E-05	6.17E-05	7.38E-05
1:Del:T:4	6.48E-05	7.26E-05	8.91E-05
1:Del:T:5	2.14E-04	2.80E-04	3.59E-04
1:Ins:C:0	9.85E-05	9.87E-05	1.31E-04
1:Ins:C:1	5.17E-05	6.06E-05	6.96E-05
1:Ins:C:2	3.19E-05	4.02E-05	5.04E-05
1:Ins:C:3	2.17E-05	2.60E-05	3.03E-05
1:Ins:C:4	1.54E-05	3.26E-05	4.06E-05
1:Ins:C:5	4.90E-05	5.66E-05	6.90E-05
1:Ins:T:0	1.15E-04	1.25E-04	1.65E-04
1:Ins:T:1	6.27E-05	6.66E-05	8.60E-05
1:Ins:T:2	5.53E-05	5.54E-05	7.09E-05
1:Ins:T:3	4.93E-05	4.81E-05	6.37E-05
1:Ins:T:4	3.13E-05	3.17E-05	4.38E-05
1:Ins:T:5	2.57E-04	2.58E-04	3.29E-04
2:Del:R:0	1.37E-04	1.51E-04	1.74E-04
2:Del:R:1	7.77E-05	8.03E-05	1.08E-04
2:Del:R:2	3.96E-05	3.92E-05	5.66E-05
2:Del:R:3	2.73E-05	2.72E-05	3.53E-05
2:Del:R:4	2.84E-05	2.84E-05	3.55E-05
2:Del:R:5	8.01E-05	7.59E-05	1.18E-04
3:Del:R:0	8.68E-05	9.54E-05	1.14E-04
3:Del:R:1	5.23E-05	5.68E-05	6.89E-05
3:Del:R:2	3.63E-05	4.05E-05	4.60E-05
3:Del:R:3	1.32E-05	2.24E-05	2.24E-05
3:Del:R:4	1.53E-05	1.84E-05	1.93E-05
3:Del:R:5	1.52E-05	1.67E-05	2.78E-05
4:Del:R:0	6.69E-05	8.07E-05	1.03E-04
4:Del:R:1	4.56E-05	4.74E-05	5.74E-05
4:Del:R:2	1.79E-05	2.46E-05	3.36E-05
4:Del:R:3	1.62E-05	2.12E-05	2.38E-05
4:Del:R:4	1.16E-05	1.77E-05	2.39E-05
4:Del:R:5	2.69E-05	3.13E-05	4.09E-05
5:Del:R:0	1.21E-04	1.35E-04	1.69E-04
5:Del:R:1	6.38E-05	7.42E-05	9.16E-05
5:Del:R:2	2.84E-05	3.48E-05	4.20E-05
5:Del:R:3	1.71E-05	2.09E-05	2.89E-05
5:Del:R:4	1.63E-05	1.77E-05	1.88E-05
5:Del:R:5	2.05E-05	1.44E-05	2.76E-05
2:Ins:R:0	1.38E-04	1.43E-04	1.93E-04
2:Ins:R:1	4.97E-05	5.29E-05	5.98E-05
2:Ins:R:2	3.86E-05	2.92E-05	5.42E-05
2:Ins:R:3	1.78E-05	2.71E-05	2.89E-05
2:Ins:R:4	2.39E-05	2.77E-05	3.05E-05
2:Ins:R:5	8.49E-05	9.30E-05	1.06E-04
3:Ins:R:0	1.03E-04	9.78E-05	1.18E-04
3:Ins:R:1	3.18E-05	3.67E-05	4.73E-05
3:Ins:R:2	1.57E-05	1.43E-05	3.25E-05
3:Ins:R:3	1.34E-05	7.58E-06	2.28E-05
3:Ins:R:4	1.25E-05	1.38E-05	1.70E-05
3:Ins:R:5	3.33E-05	3.51E-05	4.04E-05
4:Ins:R:0	7.56E-05	8.65E-05	1.04E-04
4:Ins:R:1	3.53E-05	3.67E-05	4.42E-05
4:Ins:R:2	2.58E-05	1.78E-05	2.86E-05
4:Ins:R:3	1.53E-05	1.85E-05	2.32E-05
4:Ins:R:4	1.91E-05	1.84E-05	1.88E-05
4:Ins:R:5	4.58E-05	4.34E-05	6.35E-05
5:Ins:R:0	1.56E-04	1.66E-04	2.14E-04
5:Ins:R:1	5.72E-05	6.21E-05	7.62E-05
5:Ins:R:2	3.62E-05	3.92E-05	4.90E-05
5:Ins:R:3	3.04E-05	3.76E-05	4.42E-05
5:Ins:R:4	2.77E-05	3.12E-05	3.62E-05
5:Ins:R:5	2.33E-05	2.62E-05	2.76E-05
2:Del:M:1	8.19E-05	9.53E-05	1.18E-04
3:Del:M:1	4.37E-05	4.81E-05	6.32E-05
3:Del:M:2	5.77E-05	5.20E-05	7.53E-05
4:Del:M:1	4.18E-05	4.87E-05	5.94E-05
4:Del:M:2	4.48E-05	4.61E-05	5.98E-05
4:Del:M:3	7.48E-05	7.05E-05	9.86E-05
5:Del:M:1	8.44E-05	9.56E-05	1.11E-04
5:Del:M:2	6.32E-05	7.86E-05	1.02E-04
5:Del:M:3	5.53E-05	6.48E-05	8.12E-05
5:Del:M:4	6.72E-05	7.49E-05	9.30E-05
5:Del:M:5	1.22E-04	1.28E-04	1.70E-04
