Mutation Types	B1_100RPMI_P1_C1	B2_150URI_P5_C9	B2_150URI_P6_C1
1:Del:C:0	522	466	545
1:Del:C:1	211	215	226
1:Del:C:2	92	82	83
1:Del:C:3	49	45	41
1:Del:C:4	30	26	24
1:Del:C:5	37	42	42
1:Del:T:0	343	324	328
1:Del:T:1	172	148	153
1:Del:T:2	135	136	145
1:Del:T:3	75	73	68
1:Del:T:4	88	88	105
1:Del:T:5	1193	1245	1337
1:Ins:C:0	210	186	211
1:Ins:C:1	66	75	65
1:Ins:C:2	32	32	32
1:Ins:C:3	14	13	12
1:Ins:C:4	16	15	6
1:Ins:C:5	57	63	49
1:Ins:T:0	224	258	216
1:Ins:T:1	88	81	96
1:Ins:T:2	60	50	68
1:Ins:T:3	56	48	55
1:Ins:T:4	26	21	26
1:Ins:T:5	1397	1464	1475
2:Del:R:0	423	421	457
2:Del:R:1	158	139	144
2:Del:R:2	38	29	38
2:Del:R:3	17	16	20
2:Del:R:4	19	17	20
2:Del:R:5	132	102	131
3:Del:R:0	164	183	183
3:Del:R:1	68	74	76
3:Del:R:2	27	32	32
3:Del:R:3	7	9	5
3:Del:R:4	6	7	6
3:Del:R:5	11	5	5
4:Del:R:0	118	120	107
4:Del:R:1	45	45	46
4:Del:R:2	14	10	7
4:Del:R:3	8	9	6
4:Del:R:4	7	6	4
4:Del:R:5	23	16	15
5:Del:R:0	358	352	343
5:Del:R:1	100	107	101
5:Del:R:2	23	23	17
5:Del:R:3	11	9	8
5:Del:R:4	6	7	7
5:Del:R:5	9	5	9
2:Ins:R:0	422	443	411
2:Ins:R:1	49	50	57
2:Ins:R:2	30	14	22
2:Ins:R:3	11	14	8
2:Ins:R:4	13	18	13
2:Ins:R:5	184	171	176
3:Ins:R:0	151	184	170
3:Ins:R:1	31	28	24
3:Ins:R:2	14	4	5
3:Ins:R:3	7	2	4
3:Ins:R:4	5	4	4
3:Ins:R:5	24	24	26
4:Ins:R:0	138	135	137
4:Ins:R:1	27	28	30
4:Ins:R:2	10	7	14
4:Ins:R:3	8	8	6
4:Ins:R:4	6	7	9
4:Ins:R:5	51	37	47
5:Ins:R:0	613	590	582
5:Ins:R:1	76	82	74
5:Ins:R:2	33	30	31
5:Ins:R:3	24	27	20
5:Ins:R:4	19	20	21
5:Ins:R:5	11	14	16
2:Del:M:1	187	183	193
3:Del:M:1	50	54	52
3:Del:M:2	71	54	69
4:Del:M:1	55	54	53
4:Del:M:2	52	45	45
4:Del:M:3	118	97	105
5:Del:M:1	156	169	173
5:Del:M:2	117	110	97
5:Del:M:3	78	85	73
5:Del:M:4	100	108	95
5:Del:M:5	334	288	333
