MutationsType	ID1	ID2	ID9
1:Del:C:0	0.00015989	0.00482412	0.33493988
1:Del:C:1	0.00077352	0.00002210	0.09999423
1:Del:C:2	0.00000000	0.00000311	0.00269066
1:Del:C:3	0.00190761	0.00247208	0.01062542
1:Del:C:4	0.00070599	0.00385698	0.01249690
1:Del:C:5	0.00337011	0.01461542	0.00004480
1:Del:T:0	0.00131160	0.00790597	0.10510537
1:Del:T:1	0.00000000	0.00000000	0.04429364
1:Del:T:2	0.00093645	0.00703642	0.08586196
1:Del:T:3	0.00229585	0.02023474	0.11325066
1:Del:T:4	0.00429142	0.04711993	0.09441274
1:Del:T:5	0.00000000	0.81469722	0.00092983
1:Ins:C:0	0.00000000	0.00000000	0.00000000
1:Ins:C:1	0.00000000	0.00022703	0.00000193
1:Ins:C:2	0.00000000	0.00002620	0.00035262
1:Ins:C:3	0.00084599	0.00043005	0.00000000
1:Ins:C:4	0.00178553	0.00291185	0.00000216
1:Ins:C:5	0.02429654	0.00901754	0.00007370
1:Ins:T:0	0.00228382	0.00132856	0.01261448
1:Ins:T:1	0.00004030	0.00000000	0.01038527
1:Ins:T:2	0.00019286	0.00064703	0.00231466
1:Ins:T:3	0.00424327	0.00108288	0.00160089
1:Ins:T:4	0.01664913	0.00348746	0.00158536
1:Ins:T:5	0.89090646	0.00313258	0.00577248
2:Del:R:0	0.00068605	0.00016381	0.01317475
2:Del:R:1	0.00121997	0.00356888	0.00319854
2:Del:R:2	0.00047275	0.00184957	0.00118970
2:Del:R:3	0.00042672	0.00073904	0.00009590
2:Del:R:4	0.00005460	0.00088193	0.00000000
2:Del:R:5	0.00000000	0.00000000	0.00000000
3:Del:R:0	0.00012804	0.00001250	0.00285810
3:Del:R:1	0.00501109	0.00500326	0.00430191
3:Del:R:2	0.00076938	0.00228989	0.00127572
3:Del:R:3	0.00037126	0.00040259	0.00030211
3:Del:R:4	0.00000000	0.00000000	0.00000000
3:Del:R:5	0.00000000	0.00000000	0.00000000
4:Del:R:0	0.00009970	0.00001210	0.00143277
4:Del:R:1	0.00090050	0.00211579	0.00459422
4:Del:R:2	0.00000323	0.00054329	0.00089602
4:Del:R:3	0.00000000	0.00000727	0.00002380
4:Del:R:4	0.00000000	0.00000000	0.00000000
4:Del:R:5	0.00002890	0.00021041	0.00001370
5:Del:R:0	0.00000835	0.00003850	0.00077205
5:Del:R:1	0.00019068	0.00297751	0.00047955
5:Del:R:2	0.00012636	0.00039753	0.00026497
5:Del:R:3	0.00001890	0.00015815	0.00000612
5:Del:R:4	0.00000311	0.00008470	0.00000725
5:Del:R:5	0.00003130	0.00002120	0.00002990
2:Ins:R:0	0.00040204	0.00033185	0.00116234
2:Ins:R:1	0.00000788	0.00027166	0.00210019
2:Ins:R:2	0.00022135	0.00103534	0.00076094
2:Ins:R:3	0.00051427	0.00038133	0.00035163
2:Ins:R:4	0.00291310	0.00197742	0.00003070
2:Ins:R:5	0.01812158	0.01363338	0.00000000
3:Ins:R:0	0.00000031	0.00005780	0.00025457
3:Ins:R:1	0.00025469	0.00122705	0.00082336
3:Ins:R:2	0.00004410	0.00021007	0.00011826
3:Ins:R:3	0.00016670	0.00000302	0.00000518
3:Ins:R:4	0.00008890	0.00014181	0.00001610
3:Ins:R:5	0.00124870	0.00186471	0.00000000
4:Ins:R:0	0.00000000	0.00001680	0.00016439
4:Ins:R:1	0.00074438	0.00120373	0.00071557
4:Ins:R:2	0.00007550	0.00001220	0.00004240
4:Ins:R:3	0.00015754	0.00013417	0.00002150
4:Ins:R:4	0.00031965	0.00024939	0.00000000
4:Ins:R:5	0.00100132	0.00219354	0.00000218
5:Ins:R:0	0.00000000	0.00000000	0.00016585
5:Ins:R:1	0.00144313	0.00013566	0.00125400
5:Ins:R:2	0.00025483	0.00000553	0.00010285
5:Ins:R:3	0.00023709	0.00009770	0.00008020
5:Ins:R:4	0.00026187	0.00000215	0.00005050
5:Ins:R:5	0.00011983	0.00011563	0.00000989
2:Del:M:1	0.00119782	0.00017555	0.00390097
3:Del:M:1	0.00008190	0.00000055	0.00301133
3:Del:M:2	0.00147959	0.00294406	0.00154330
4:Del:M:1	0.00008380	0.00014700	0.00192772
4:Del:M:2	0.00014548	0.00055061	0.00329745
4:Del:M:3	0.00016068	0.00069357	0.00254408
5:Del:M:1	0.00000082	0.00062496	0.00003540
5:Del:M:2	0.00000000	0.00011771	0.00022124
5:Del:M:3	0.00000000	0.00005670	0.00057091
5:Del:M:4	0.00003880	0.00046284	0.00044831
5:Del:M:5	0.00066512	0.00236732	0.00000000
