MutationsType	ID83A
1:Del:C:0	0.04975950
1:Del:C:1	0.02116464
1:Del:C:2	0.00834994
1:Del:C:3	0.00436586
1:Del:C:4	0.00258973
1:Del:C:5	0.00398661
1:Del:T:0	0.03236469
1:Del:T:1	0.01537733
1:Del:T:2	0.01352854
1:Del:T:3	0.00707190
1:Del:T:4	0.00909998
1:Del:T:5	0.12260350
1:Ins:C:0	0.01969614
1:Ins:C:1	0.00667882
1:Ins:C:2	0.00310381
1:Ins:C:3	0.00126439
1:Ins:C:4	0.00120707
1:Ins:C:5	0.00550210
1:Ins:T:0	0.02268668
1:Ins:T:1	0.00861065
1:Ins:T:2	0.00578737
1:Ins:T:3	0.00518420
1:Ins:T:4	0.00235702
1:Ins:T:5	0.14082061
2:Del:R:0	0.04223790
2:Del:R:1	0.01436124
2:Del:R:2	0.00340676
2:Del:R:3	0.00170445
2:Del:R:4	0.00182006
2:Del:R:5	0.01185476
3:Del:R:0	0.01717438
3:Del:R:1	0.00707470
3:Del:R:2	0.00297215
3:Del:R:3	0.00068636
3:Del:R:4	0.00062787
3:Del:R:5	0.00068369
4:Del:R:0	0.01123527
4:Del:R:1	0.00443045
4:Del:R:2	0.00100354
4:Del:R:3	0.00076655
4:Del:R:4	0.00055756
4:Del:R:5	0.00175183
5:Del:R:0	0.03423557
5:Del:R:1	0.01004978
5:Del:R:2	0.00205413
5:Del:R:3	0.00090282
5:Del:R:4	0.00065386
5:Del:R:5	0.00074978
2:Ins:R:0	0.04141931
2:Ins:R:1	0.00507749
2:Ins:R:2	0.00212912
2:Ins:R:3	0.00106567
2:Ins:R:4	0.00142080
2:Ins:R:5	0.01725561
3:Ins:R:0	0.01639867
3:Ins:R:1	0.00268993
3:Ins:R:2	0.00074920
3:Ins:R:3	0.00041336
3:Ins:R:4	0.00041401
3:Ins:R:5	0.00239107
4:Ins:R:0	0.01331429
4:Ins:R:1	0.00277097
4:Ins:R:2	0.00102992
4:Ins:R:3	0.00071293
4:Ins:R:4	0.00071995
4:Ins:R:5	0.00435819
5:Ins:R:0	0.05804484
5:Ins:R:1	0.00753153
5:Ins:R:2	0.00305260
5:Ins:R:3	0.00230568
5:Ins:R:4	0.00195406
5:Ins:R:5	0.00133990
2:Del:M:1	0.01836254
3:Del:M:1	0.00506359
3:Del:M:2	0.00627910
4:Del:M:1	0.00525412
4:Del:M:2	0.00461923
4:Del:M:3	0.01037106
5:Del:M:1	0.01617682
5:Del:M:2	0.01052201
5:Del:M:3	0.00768756
5:Del:M:4	0.00984917
5:Del:M:5	0.03109913
