MutationsType	ID83A
1:Del:C:0	5.49E-05
1:Del:C:1	3.66E-05
1:Del:C:2	2.42E-05
1:Del:C:3	1.61E-05
1:Del:C:4	1.27E-05
1:Del:C:5	1.61E-05
1:Del:T:0	4.57E-05
1:Del:T:1	3.15E-05
1:Del:T:2	2.93E-05
1:Del:T:3	2.19E-05
1:Del:T:4	2.50E-05
1:Del:T:5	8.39E-05
1:Ins:C:0	3.49E-05
1:Ins:C:1	2.11E-05
1:Ins:C:2	1.40E-05
1:Ins:C:3	9.37E-06
1:Ins:C:4	8.47E-06
1:Ins:C:5	1.84E-05
1:Ins:T:0	3.98E-05
1:Ins:T:1	2.56E-05
1:Ins:T:2	1.85E-05
1:Ins:T:3	1.84E-05
1:Ins:T:4	1.20E-05
1:Ins:T:5	9.20E-05
2:Del:R:0	5.17E-05
2:Del:R:1	2.89E-05
2:Del:R:2	1.42E-05
2:Del:R:3	1.03E-05
2:Del:R:4	1.06E-05
2:Del:R:5	2.81E-05
3:Del:R:0	3.19E-05
3:Del:R:1	2.22E-05
3:Del:R:2	1.43E-05
3:Del:R:3	6.82E-06
3:Del:R:4	6.35E-06
3:Del:R:5	6.71E-06
4:Del:R:0	2.80E-05
4:Del:R:1	1.71E-05
4:Del:R:2	8.31E-06
4:Del:R:3	7.10E-06
4:Del:R:4	5.86E-06
4:Del:R:5	1.06E-05
5:Del:R:0	4.59E-05
5:Del:R:1	2.59E-05
5:Del:R:2	1.17E-05
5:Del:R:3	7.70E-06
5:Del:R:4	6.69E-06
5:Del:R:5	7.33E-06
2:Ins:R:0	5.07E-05
2:Ins:R:1	1.82E-05
2:Ins:R:2	1.18E-05
2:Ins:R:3	7.83E-06
2:Ins:R:4	9.02E-06
2:Ins:R:5	3.42E-05
3:Ins:R:0	3.08E-05
3:Ins:R:1	1.37E-05
3:Ins:R:2	7.00E-06
3:Ins:R:3	5.38E-06
3:Ins:R:4	5.30E-06
3:Ins:R:5	1.22E-05
4:Ins:R:0	2.96E-05
4:Ins:R:1	1.28E-05
4:Ins:R:2	8.14E-06
4:Ins:R:3	6.54E-06
4:Ins:R:4	6.81E-06
4:Ins:R:5	1.70E-05
5:Ins:R:0	5.89E-05
5:Ins:R:1	2.23E-05
5:Ins:R:2	1.38E-05
5:Ins:R:3	1.27E-05
5:Ins:R:4	1.07E-05
5:Ins:R:5	8.70E-06
2:Del:M:1	3.40E-05
3:Del:M:1	1.76E-05
3:Del:M:2	2.06E-05
4:Del:M:1	1.92E-05
4:Del:M:2	1.73E-05
4:Del:M:3	2.58E-05
5:Del:M:1	3.26E-05
5:Del:M:2	2.56E-05
5:Del:M:3	2.27E-05
5:Del:M:4	2.52E-05
5:Del:M:5	4.41E-05
