NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1210.233	2.027	154.923	2.252	0.0	0.998	20000.0
2	1291.373	2.162	178.462	2.597	0.0	0.998	20000.0
3	1340.8	2.244	175.074	2.545	0.0	0.998	20000.0
4	1249.041	2.086	162.108	2.349	0.0	0.998	30000.0
5	1238.934	2.072	170.176	2.474	0.0	0.999	20000.0
6	1363.757	2.287	185.008	2.697	0.0	0.998	20000.0
7	1232.481	2.058	164.531	2.386	0.0	0.998	20000.0
8	1116.11	1.864	152.494	2.209	0.0	0.998	20000.0
9	1272.668	2.125	169.479	2.458	0.0	0.998	20000.0
10	1178.249	1.967	157.233	2.281	0.0	0.998	20000.0
11	1253.545	2.103	168.504	2.453	0.0	0.999	30000.0
12	1126.153	1.882	141.725	2.056	0.0	0.999	20000.0
13	1381.71	2.324	194.01	2.831	0.001	0.998	20000.0
14	1420.633	2.373	193.574	2.806	0.001	0.998	20000.0
15	1047.054	1.747	148.239	2.147	0.0	0.999	20000.0
16	1347.002	2.258	183.162	2.67	0.0	0.998	20000.0
17	1279.846	2.139	168.68	2.45	0.0	0.998	20000.0
18	1052.395	1.757	140.423	2.031	0.0	0.999	20000.0
19	1175.531	1.962	158.859	2.301	0.0	0.998	20000.0
20	1294.618	2.163	170.948	2.474	0.0	0.998	30000.0
21	1152.973	1.925	152.828	2.218	0.0	0.998	20000.0
22	1051.883	1.757	135.263	1.962	0.0	0.999	20000.0
23	1263.472	2.111	165.397	2.401	0.0	0.998	20000.0
24	1294.518	2.16	180.962	2.62	0.001	0.998	20000.0
25	1161.619	1.939	157.669	2.282	0.0	0.998	20000.0
26	1310.492	2.196	166.727	2.429	0.0	0.999	20000.0
27	1332.949	2.228	167.067	2.423	0.0	0.998	20000.0
28	1116.744	1.865	150.049	2.175	0.0	0.999	30000.0
29	1290.258	2.153	168.982	2.444	0.001	0.998	20000.0
30	1316.839	2.202	173.979	2.525	0.0	0.999	20000.0
31	1165.477	1.946	151.365	2.192	0.0	0.999	20000.0
32	1253.395	2.095	164.528	2.392	0.0	0.999	20000.0
33	1315.722	2.2	179.32	2.6	0.0	0.998	20000.0
34	1176.023	1.964	165.038	2.397	0.0	0.998	20000.0
35	1207.448	2.018	155.344	2.256	0.0	0.998	20000.0
36	1073.66	1.791	148.827	2.159	0.0	0.999	20000.0
37	1227.38	2.055	167.679	2.437	0.0	0.998	20000.0
38	1177.611	1.97	159.231	2.31	0.0	0.999	20000.0
39	1272.718	2.124	170.779	2.48	0.001	0.998	20000.0
40	1162.37	1.939	153.65	2.228	0.0	0.998	20000.0
41	1140.822	1.906	156.897	2.272	0.0	0.998	20000.0
42	1374.348	2.319	193.532	2.838	0.001	0.998	30000.0
43	1258.029	2.104	163.673	2.374	0.0	0.999	20000.0
44	1284.198	2.147	165.349	2.399	0.0	0.999	30000.0
45	1217.368	2.034	165.85	2.407	0.0	0.998	20000.0
46	1157.342	1.945	151.898	2.221	0.001	0.998	30000.0
47	1250.422	2.094	169.82	2.47	0.0	0.998	20000.0
48	1184.201	1.978	149.569	2.172	0.0	0.999	20000.0
49	1119.56	1.871	142.132	2.061	0.0	0.999	20000.0
50	1150.539	1.929	158.866	2.313	0.0	0.999	20000.0
51	1221.752	2.044	166.262	2.416	0.0	0.998	30000.0
52	1308.855	2.188	186.311	2.704	0.0	0.998	20000.0
53	1109.511	1.853	153.234	2.218	0.0	0.998	20000.0
54	1151.846	1.924	153.572	2.227	0.0	0.999	20000.0
55	1189.274	1.984	158.865	2.297	0.0	0.998	20000.0
56	1448.169	2.433	195.692	2.852	0.001	0.998	20000.0
57	1296.651	2.165	169.326	2.454	0.0	0.998	20000.0
58	1209.905	2.021	160.497	2.328	0.0	0.998	20000.0
59	1232.482	2.059	165.191	2.395	0.0	0.998	20000.0
60	1280.041	2.138	165.329	2.394	0.0	0.998	20000.0
61	1422.434	2.381	183.24	2.667	0.0	0.998	20000.0
62	1209.527	2.019	168.201	2.441	0.001	0.998	20000.0
63	1259.764	2.103	163.427	2.371	0.001	0.998	20000.0
64	1143.707	1.909	151.384	2.193	0.0	0.999	20000.0
65	1088.065	1.817	142.412	2.068	0.0	0.999	20000.0
66	1187.234	1.985	150.399	2.185	0.0	0.999	20000.0
