Replicates	Seeds
1	8242734
2	2802250
3	5837566
4	6332918
5	9490289
6	9682356
7	9361599
8	6689406
9	7460535
10	8239207
11	9331584
12	8980745
13	2311816
14	8900414
15	3438264
16	1823936
17	9662614
18	2251161
19	6116968
20	7846118
21	3634054
22	4489527
23	2022515
24	5883446
25	8166206
26	6323961
27	2348031
28	2487269
29	7108418
30	5366634
31	332230
32	5814209
33	287406
34	1063708
35	676181
36	7039488
37	692817
38	1964915
39	812469
40	7873189
41	3822056
42	4244040
43	6122610
44	9953947
45	5389424
46	363691
47	2094159
48	82626
49	9106468
50	8553782
51	8287334
52	4622508
53	1194900
54	2770437
55	8635212
56	3784030
57	2465466
58	8317445
59	3307007
60	7749749
61	2813923
62	2719148
63	6943757
64	809280
65	691200
66	1487498
67	8789105
68	8276393
69	4939505
70	6212236
71	4375630
72	8477125
73	4595694
74	360387
75	7931277
76	4626293
77	9661689
78	7150775
79	8907533
80	7904842
81	6360662
82	2708930
83	8761879
84	6134052
85	2672576
86	5862625
87	296572
88	6846512
89	4936917
90	2988409
91	3655733
92	9496146
93	8263051
94	7156100
95	1674575
96	5433085
97	4154160
98	3427141
99	7195453
100	7091164
101	7414919
102	659713
103	4498967
104	5341012
105	7499209
106	8558426
107	3901537
108	9972903
109	6741167
110	8727921
111	3594214
112	2936409
113	4187235
114	693895
115	8792126
116	6368630
117	9365338
118	8076468
119	1589169
120	7369551
121	2227129
122	1970239
123	8360227
124	7834573
125	4156933
126	6667614
127	8062323
128	5485428
129	8984001
130	7454903
131	5010081
132	7014484
133	6839781
134	3974578
135	8290001
136	2865539
137	9645825
138	8456964
139	7185214
140	368565
141	2266015
142	1502121
143	6241417
144	6118367
145	9648483
146	4710703
147	5530435
148	8732632
149	5332279
150	8253955
151	6426357
152	3261149
153	7366009
154	1569960
155	5125076
156	8255072
157	8077363
158	9465548
159	8374773
160	5029055
161	9355657
162	5691643
163	6989923
164	8689779
165	3332655
166	8962215
167	6380836
168	1353245
169	3203278
170	7744677
171	1073904
172	8164981
173	4065800
174	8954135
175	8756548
176	1887720
177	7067440
178	1483593
179	8379591
180	7872150
181	1921509
182	1249172
183	2213256
184	7074668
185	6703482
186	7208679
187	2240241
188	7452374
189	8734854
190	7832789
191	8426080
192	2658470
193	4727463
194	9640639
195	5990892
196	5618863
197	9917726
198	314866
199	3891778
200	6513223
201	514629
202	255077
203	1953582
204	5109404
205	784796
206	1947647
207	9305579
208	9160952
209	814059
210	1498677
211	11044
212	9621018
213	3964286
214	675295
215	697738
216	747496
217	3629242
218	5217797
219	1946054
220	2560336
221	7768568
222	5308487
223	461718
224	8988342
225	4388569
226	7366423
227	4681831
228	8307335
229	7767190
230	9367840
231	207834
232	4629306
233	7838998
234	3903033
235	7081906
236	7994419
237	2012312
238	6275667
239	9199407
240	9299670
241	5077385
242	5859533
243	7001513
244	4632789
245	1177150
246	4298556
247	4678338
248	8931442
249	5999020
250	8883142
251	9488793
252	5384550
253	763224
254	2639567
255	7149950
256	6313406
257	9880588
258	9653735
259	8961109
260	8128454
261	1517533
262	341647
263	4732575
264	4113077
265	6258488
266	1869284
267	7083892
268	2861985
269	4937875
270	7444337
271	6299727
272	8548047
273	5738310
274	5692724
275	6744370
276	4837037
277	6235407
278	7829252
279	6045884
280	932550
281	3624834
282	9785754
283	1232872
284	9856626
285	4245083
286	9536249
287	5569946
288	1245766
289	4923163
290	1365552
291	8901820
292	6260730
293	9245587
294	2633460
295	2689985
296	5001385
297	1994948
298	8739190
299	9160231
300	8431986
301	8753446
302	8812638
303	8645848
304	8273719
305	9078413
306	6346569
307	1866917
308	3231335
309	9736245
310	10545
311	4097459
312	2546398
313	4789893
314	8443041
315	8274929
316	3916206
317	7467814
318	1879708
319	4875395
320	553362
321	1308171
322	1627751
323	1348914
324	4625649
325	1924296
326	4023722
327	2129128
328	1636455
329	1189860
330	9297815
331	6222786
332	3716271
333	2470576
334	2953329
335	8862659
336	3786973
337	6506473
338	3917743
339	3877782
340	153476
341	9881753
342	2894864
343	561566
344	394266
345	9336707
346	8184625
347	6942815
348	4815915
349	4152194
350	2292443
351	5480303
352	3813708
353	8365972
354	7767811
355	907512
356	7320018
357	1568309
358	4183066
359	3458477
360	4890279
361	911511
362	5182853
363	4303190
364	9923269
365	7553948
366	743032
367	2960211
368	2973561
369	6494610
370	5407628
371	1905715
372	7013482
373	911099
374	8954635
375	6338781
376	347044
377	3766252
378	1419513
379	7183951
380	9275297
381	3305901
382	7410998
383	8299000
384	1655967
385	3315920
386	5227295
387	3657640
388	9715921
389	4542239
390	6345031
391	2403901
392	4544377
393	6001155
394	671191
395	3095628
396	4899096
397	3723557
398	1869117
399	2094450
400	4048391
401	7274628
402	5346119
403	3629848
404	4954424
405	323048
406	4007337
407	6640542
408	9026121
409	5129676
410	2997693
411	5141026
412	7777247
413	1032759
414	3072511
415	8952009
416	4150510
417	1509034
418	4537348
419	7284677
420	9379707
421	4887891
422	5626320
423	5023493
424	998370
425	5317024
426	2007809
427	2366994
428	2205074
429	7308099
430	975752
431	1283520
432	5855205
433	9041493
434	4197940
435	8145620
436	8151128
437	7362142
438	2933496
439	5314512
440	5502793
441	2708797
442	9968832
443	9339059
444	1666394
445	6313857
446	4709969
447	370291
448	9304307
449	1222060
450	6748540
451	6412064
452	5846385
453	8814953
454	2853126
455	3558368
456	5103923
457	1694426
458	542579
459	7763444
460	2792599
461	6213780
462	299866
463	5454189
464	254475
465	2770777
466	26862
467	4648869
468	528399
469	706306
470	5584251
471	4703450
472	1717128
473	7834028
474	3529169
475	6628423
476	2639197
477	3683761
478	1254592
479	4480184
480	5923272
481	3856761
482	4375727
483	8895933
484	2872255
485	2122570
486	8020408
487	5512145
488	3069532
489	8061471
490	6467812
491	2906574
492	1135173
493	676683
494	4299749
495	2084768
496	6157919
497	6234629
498	2940749
499	4197226
500	9939211
