Mutation Types	H460_5FU
1:Del:C:0	567
1:Del:C:1	245
1:Del:C:2	97
1:Del:C:3	58
1:Del:C:4	27
1:Del:C:5	39
1:Del:T:0	391
1:Del:T:1	190
1:Del:T:2	148
1:Del:T:3	100
1:Del:T:4	101
1:Del:T:5	927
1:Ins:C:0	258
1:Ins:C:1	74
1:Ins:C:2	35
1:Ins:C:3	20
1:Ins:C:4	13
1:Ins:C:5	52
1:Ins:T:0	256
1:Ins:T:1	102
1:Ins:T:2	61
1:Ins:T:3	65
1:Ins:T:4	39
1:Ins:T:5	1066
2:Del:R:0	495
2:Del:R:1	185
2:Del:R:2	37
2:Del:R:3	12
2:Del:R:4	19
2:Del:R:5	135
3:Del:R:0	188
3:Del:R:1	94
3:Del:R:2	38
3:Del:R:3	5
3:Del:R:4	5
3:Del:R:5	5
4:Del:R:0	113
4:Del:R:1	65
4:Del:R:2	13
4:Del:R:3	10
4:Del:R:4	8
4:Del:R:5	16
5:Del:R:0	400
5:Del:R:1	112
5:Del:R:2	19
5:Del:R:3	7
5:Del:R:4	4
5:Del:R:5	7
2:Ins:R:0	433
2:Ins:R:1	66
2:Ins:R:2	28
2:Ins:R:3	19
2:Ins:R:4	21
2:Ins:R:5	182
3:Ins:R:0	168
3:Ins:R:1	34
3:Ins:R:2	9
3:Ins:R:3	7
3:Ins:R:4	4
3:Ins:R:5	36
4:Ins:R:0	137
4:Ins:R:1	32
4:Ins:R:2	11
4:Ins:R:3	12
4:Ins:R:4	6
4:Ins:R:5	55
5:Ins:R:0	664
5:Ins:R:1	88
5:Ins:R:2	36
5:Ins:R:3	24
5:Ins:R:4	18
5:Ins:R:5	13
2:Del:M:1	202
3:Del:M:1	55
3:Del:M:2	55
4:Del:M:1	45
4:Del:M:2	54
4:Del:M:3	118
5:Del:M:1	181
5:Del:M:2	127
5:Del:M:3	82
5:Del:M:4	110
5:Del:M:5	329
