MutationsType	ID83A
1:Del:C:0	0.05452311
1:Del:C:1	0.02368028
1:Del:C:2	0.00930759
1:Del:C:3	0.00562519
1:Del:C:4	0.00262230
1:Del:C:5	0.00375616
1:Del:T:0	0.03770917
1:Del:T:1	0.01828082
1:Del:T:2	0.01415177
1:Del:T:3	0.00960805
1:Del:T:4	0.00965428
1:Del:T:5	0.08904083
1:Ins:C:0	0.02498286
1:Ins:C:1	0.00706837
1:Ins:C:2	0.00336383
1:Ins:C:3	0.00193567
1:Ins:C:4	0.00125116
1:Ins:C:5	0.00503794
1:Ins:T:0	0.02472284
1:Ins:T:1	0.00972535
1:Ins:T:2	0.00586922
1:Ins:T:3	0.00629468
1:Ins:T:4	0.00381183
1:Ins:T:5	0.10293779
2:Del:R:0	0.04764792
2:Del:R:1	0.01775308
2:Del:R:2	0.00352273
2:Del:R:3	0.00115890
2:Del:R:4	0.00180624
2:Del:R:5	0.01297015
3:Del:R:0	0.01815196
3:Del:R:1	0.00904719
3:Del:R:2	0.00365119
3:Del:R:3	0.00047535
3:Del:R:4	0.00046995
3:Del:R:5	0.00046995
4:Del:R:0	0.01083879
4:Del:R:1	0.00628101
4:Del:R:2	0.00126618
4:Del:R:3	0.00096687
4:Del:R:4	0.00078120
4:Del:R:5	0.00153371
5:Del:R:0	0.03846995
5:Del:R:1	0.01072824
5:Del:R:2	0.00182242
5:Del:R:3	0.00066680
5:Del:R:4	0.00039330
5:Del:R:5	0.00066333
2:Ins:R:0	0.04171841
2:Ins:R:1	0.00642989
2:Ins:R:2	0.00270686
2:Ins:R:3	0.00185555
2:Ins:R:4	0.00202350
2:Ins:R:5	0.01758378
3:Ins:R:0	0.01616718
3:Ins:R:1	0.00330027
3:Ins:R:2	0.00085035
3:Ins:R:3	0.00067874
3:Ins:R:4	0.00039734
3:Ins:R:5	0.00348729
4:Ins:R:0	0.01314522
4:Ins:R:1	0.00302966
4:Ins:R:2	0.00106683
4:Ins:R:3	0.00115158
4:Ins:R:4	0.00057223
4:Ins:R:5	0.00524345
5:Ins:R:0	0.06411133
5:Ins:R:1	0.00846803
5:Ins:R:2	0.00347207
5:Ins:R:3	0.00231664
5:Ins:R:4	0.00173748
5:Ins:R:5	0.00123267
2:Del:M:1	0.01945878
3:Del:M:1	0.00527485
3:Del:M:2	0.00532146
4:Del:M:1	0.00431587
4:Del:M:2	0.00519915
4:Del:M:3	0.01138925
5:Del:M:1	0.01735150
5:Del:M:2	0.01219068
5:Del:M:3	0.00787461
5:Del:M:4	0.01063232
5:Del:M:5	0.03174769
