MutationsType	ID83A
1:Del:C:0	9.87E-05
1:Del:C:1	6.74E-05
1:Del:C:2	4.27E-05
1:Del:C:3	3.37E-05
1:Del:C:4	2.17E-05
1:Del:C:5	2.59E-05
1:Del:T:0	8.80E-05
1:Del:T:1	5.72E-05
1:Del:T:2	5.21E-05
1:Del:T:3	4.23E-05
1:Del:T:4	4.41E-05
1:Del:T:5	1.25E-04
1:Ins:C:0	7.02E-05
1:Ins:C:1	3.61E-05
1:Ins:C:2	2.59E-05
1:Ins:C:3	1.86E-05
1:Ins:C:4	1.54E-05
1:Ins:C:5	2.99E-05
1:Ins:T:0	6.32E-05
1:Ins:T:1	4.42E-05
1:Ins:T:2	3.41E-05
1:Ins:T:3	3.40E-05
1:Ins:T:4	2.60E-05
1:Ins:T:5	1.34E-04
2:Del:R:0	9.89E-05
2:Del:R:1	5.71E-05
2:Del:R:2	2.66E-05
2:Del:R:3	1.38E-05
2:Del:R:4	1.85E-05
2:Del:R:5	5.18E-05
3:Del:R:0	5.73E-05
3:Del:R:1	4.23E-05
3:Del:R:2	2.64E-05
3:Del:R:3	1.00E-05
3:Del:R:4	9.40E-06
3:Del:R:5	9.73E-06
4:Del:R:0	4.66E-05
4:Del:R:1	3.57E-05
4:Del:R:2	1.58E-05
4:Del:R:3	1.43E-05
4:Del:R:4	1.24E-05
4:Del:R:5	1.66E-05
5:Del:R:0	8.35E-05
5:Del:R:1	4.73E-05
5:Del:R:2	1.92E-05
5:Del:R:3	1.05E-05
5:Del:R:4	8.76E-06
5:Del:R:5	1.09E-05
2:Ins:R:0	8.86E-05
2:Ins:R:1	3.50E-05
2:Ins:R:2	2.22E-05
2:Ins:R:3	1.84E-05
2:Ins:R:4	1.94E-05
2:Ins:R:5	5.70E-05
3:Ins:R:0	5.54E-05
3:Ins:R:1	2.58E-05
3:Ins:R:2	1.34E-05
3:Ins:R:3	1.14E-05
3:Ins:R:4	8.92E-06
3:Ins:R:5	2.70E-05
4:Ins:R:0	4.81E-05
4:Ins:R:1	2.36E-05
4:Ins:R:2	1.55E-05
4:Ins:R:3	1.51E-05
4:Ins:R:4	1.09E-05
4:Ins:R:5	3.17E-05
5:Ins:R:0	1.06E-04
5:Ins:R:1	4.10E-05
5:Ins:R:2	2.68E-05
5:Ins:R:3	2.09E-05
5:Ins:R:4	1.76E-05
5:Ins:R:5	1.55E-05
2:Del:M:1	5.99E-05
3:Del:M:1	3.26E-05
3:Del:M:2	3.12E-05
4:Del:M:1	2.84E-05
4:Del:M:2	3.16E-05
4:Del:M:3	4.56E-05
5:Del:M:1	5.53E-05
5:Del:M:2	5.10E-05
5:Del:M:3	3.94E-05
5:Del:M:4	4.18E-05
5:Del:M:5	7.87E-05
