Replicates	Seeds
1	9414515
2	6464106
3	2958508
4	1575222
5	9092542
6	8800073
7	5085477
8	9540534
9	9184113
10	2941593
11	352290
12	9709446
13	4871982
14	9152329
15	8336571
16	3896043
17	6158347
18	4667747
19	4878164
20	8774286
21	9999621
22	5995175
23	1650993
24	9266269
25	431113
26	8802459
27	143044
28	4976264
29	1551464
30	4167370
31	2572119
32	1365840
33	7269863
34	63068
35	8224691
36	534501
37	1082140
38	9297143
39	9767449
40	4152455
41	9346773
42	9637929
43	6610308
44	7132327
45	6722496
46	4955387
47	3596904
48	8672512
49	3231843
50	2165252
51	4974709
52	4794735
53	4608321
54	8778963
55	9169526
56	9691269
57	6857536
58	6019862
59	5191081
60	8261541
61	5956539
62	2484195
63	2825964
64	7825727
65	4200201
66	6182054
67	2958454
68	9531792
69	9631579
70	1583474
71	9786518
72	735355
73	4044250
74	2216008
75	1116450
76	6339634
77	3636497
78	7947232
79	4469321
80	4494886
81	6650261
82	5919429
83	8532164
84	4496257
85	1847029
86	1960408
87	335293
88	4361078
89	8736998
90	174668
91	2679115
92	2861068
93	4290937
94	2727274
95	8220989
96	51032
97	9297454
98	1325362
99	8014003
100	6485533
101	3091364
102	3737433
103	3373635
104	8041808
105	1969160
106	4433557
107	6903733
108	1528371
109	981475
110	7984933
111	1965720
112	9300013
113	1213824
114	7913770
115	3421676
116	7566327
117	2746227
118	5873118
119	4098582
120	6387076
121	7928652
122	3424986
123	4315592
124	8931192
125	7010078
126	2277332
127	1901177
128	5658650
129	36724
130	8810226
131	9217318
132	5937761
133	5572526
134	7660524
135	9906494
136	1423034
137	3332451
138	4061870
139	4215196
140	5702630
141	1742370
142	1274821
143	7133667
144	7140752
145	5316801
146	1428077
147	4009294
148	9280444
149	2498914
150	6590193
151	5010508
152	696449
153	7986782
154	1662151
155	3436650
156	4341503
157	9220796
158	9698228
159	6973160
160	7979597
161	1577435
162	4239454
163	7573189
164	4315652
165	416625
166	7153491
167	5261946
168	9451809
169	9342666
170	48998
171	1384546
172	8958973
173	1999663
174	2063939
175	5134347
176	46813
177	9847506
178	7589498
179	7149027
180	4936584
181	6751587
182	3389302
183	2443567
184	6235112
185	1742726
186	7653711
187	5610628
188	9612857
189	2828377
190	7461761
191	1327783
192	1732447
193	9872982
194	6419668
195	5853123
196	6244622
197	6054246
198	8363803
199	3310066
200	1037213
201	1588495
202	1968676
203	1181285
204	270027
205	9010426
206	5721817
207	436235
208	662207
209	557404
210	2054451
211	2606009
212	5825126
213	2871767
214	2210515
215	2486385
216	9638314
217	307911
218	5994888
219	761856
220	2008953
221	2967334
222	1739276
223	1582393
224	7125475
225	6108289
226	4696330
227	8395514
228	970387
229	5047923
230	3155190
231	9010581
232	3583353
233	2614977
234	9732354
235	2761535
236	7996697
237	8166849
238	2527033
239	6369444
240	3171616
241	5185798
242	6626112
243	7559903
244	6673981
245	3482216
246	2834592
247	467215
248	346773
249	4281960
250	3946151
251	5893114
252	2928846
253	7383050
254	2503438
255	8822626
256	3180444
257	3222648
258	7656951
259	9799527
260	8515845
261	3983332
262	5591091
263	4480840
264	3622251
265	3212218
266	3977271
267	3204317
268	3254947
269	4935736
270	521195
271	6685577
272	853535
273	8065558
274	8053006
275	1878908
276	2079929
277	7636394
278	593822
279	811338
280	8634260
281	3600690
282	6702739
283	2195428
284	2405414
285	8187485
286	3805157
287	5819424
288	2621359
289	8558410
290	657615
291	9681000
292	5721273
293	223583
294	349479
295	5119827
296	565283
297	7884687
298	3114877
299	8725070
300	21888
301	4750252
302	438462
303	4725034
304	2343079
305	1658977
306	8485951
307	3498310
308	7113201
309	8941702
310	6484261
311	3485867
312	7901365
313	5845664
314	309471
315	5418062
316	6340932
317	2046227
318	3109066
319	5373982
320	3105009
321	4167430
322	2348160
323	740104
324	5995778
325	2226494
326	710462
327	1732726
328	975125
329	6524729
330	8440663
331	1591528
332	4070075
333	8556648
334	3616455
335	1412115
336	9153767
337	7122028
338	2088609
339	8528756
340	7808862
341	4162191
342	5064358
343	465244
344	4079404
345	9398469
346	6559916
347	9840109
348	4232807
349	7384566
350	6018089
351	4612608
352	8283499
353	4067226
354	9672435
355	7636236
356	7471914
357	3198610
358	5768425
359	4063801
360	1179678
361	3358593
362	2735363
363	4439159
364	467290
365	6382486
366	5798043
367	8961354
368	5029596
369	2216381
370	8200448
371	7413947
372	3285736
373	6225757
374	5433285
375	5713894
376	9267207
377	7851661
378	3977529
379	1149940
380	6672412
381	2154517
382	5904232
383	6045233
384	9113113
385	799612
386	2280829
387	6098921
388	520750
389	431875
390	3510566
391	6455811
392	4097675
393	2605016
394	4837679
395	7761148
396	8944749
397	7531295
398	4690293
399	374568
400	5656903
401	4012275
402	8619266
403	9543750
404	5078320
405	2013859
406	9940406
407	4692259
408	3682136
409	8261209
410	3277330
411	9551903
412	374085
413	4036221
414	6701146
415	2175744
416	4702205
417	4881770
418	8178201
419	9299612
420	1923053
421	7545291
422	6789067
423	9549946
424	1458941
425	7093742
426	5513212
427	3698804
428	6650100
429	6303027
430	668403
431	9522776
432	9515288
433	4143061
434	283992
435	2238684
436	3382338
437	2801314
438	260827
439	4894058
440	1898723
441	6556985
442	3078466
443	2302220
444	4131854
445	6859811
446	6578080
447	8796144
448	308358
449	1193398
450	8203842
451	1030641
452	8586615
453	2383194
454	1103240
455	9074219
456	3025800
457	6239371
458	3067706
459	5321101
460	5901880
461	9909994
462	6280652
463	9307195
464	2581859
465	9953863
466	5470158
467	9544180
468	95377
469	8702300
470	6517102
471	3920397
472	2778322
